49.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;5.06510692629805E-11;0.34;_;41.61;55.74;2.673810994749042E-12;0.36;_;38.67;55.88;3.6251139582086713E-9;0.30;_
iTrust;UD;45.76;59.36;4.5353452724898515E-7;0.26;_;45.49;59.03;6.009588564525605E-7;0.26;_;44.81;62.47;0.0013163533969292015;0.16;_
iTrust;CLUSTER;54.44;65.64;_;_;0.1923;53.84;65.75;_;_;0.1923;50.24;65.91;_;_;0.1818
Maven;IR;26.62;43.26;2.02428806445282E-4;0.29;_;26.53;43.22;1.9207824590740727E-4;0.30;_;23.97;45.87;9.120853661485894E-4;0.26;_
Maven;UD;27.63;43.75;0.0011808471311325168;0.26;_;27.63;43.89;0.0011010813965253085;0.26;_;25.80;47.13;0.07090328820892168;0.14;_
Maven;CLUSTER;31.69;46.69;_;_;0.1484;31.49;46.70;_;_;0.1145;27.07;48.49;_;_;0.1145
Gantt;IR;43.20;50.52;7.425303825948911E-9;0.27;_;43.07;52.66;1.0307421711674892E-12;0.33;_;36.40;46.95;1.3971493714997238E-17;0.39;_
Gantt;UD;47.99;56.33;0.2279438243111318;0.06;_;47.75;57.87;0.4407381126460719;0.04;_;45.60;57.92;1.8548972077089216E-6;0.22;_
Gantt;CLUSTER;47.23;59.93;_;_;0.1179;47.02;60.75;_;_;0.1204;50.33;57.06;_;_;0.1184
