49.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;2.3260238757722244E-7;0.26;_;41.61;55.74;1.1727370941201016E-7;0.27;_;38.67;55.88;6.129700970760758E-6;0.23;_
iTrust;UD;45.76;59.36;2.6700053765345386E-4;0.19;_;45.49;59.03;0.001835479823691045;0.16;_;44.81;62.47;0.06735486392917159;0.09;_
iTrust;CLUSTER;53.94;63.83;_;_;0.0884;51.37;63.64;_;_;0.1266;48.31;63.16;_;_;0.1270
Maven;IR;26.62;43.26;2.2374799741999718E-4;0.29;_;26.53;43.22;2.0420403174464257E-4;0.29;_;23.97;45.87;0.0015740745453146521;0.25;_
Maven;UD;27.63;43.75;0.001341104826263452;0.25;_;27.63;43.89;0.0011010813965253085;0.26;_;25.80;47.13;0.09998700744205857;0.13;_
Maven;CLUSTER;33.26;47.81;_;_;0.0806;33.06;47.81;_;_;0.0790;27.32;48.77;_;_;0.0786
Gantt;IR;43.20;50.52;5.327788707525849E-15;0.36;_;43.07;52.66;1.120973134108248E-18;0.41;_;36.40;46.95;2.821747333615708E-17;0.39;_
Gantt;UD;47.99;56.33;8.696237350989153E-6;0.20;_;47.75;57.87;5.014625112203686E-6;0.21;_;45.60;57.92;5.079358461456822E-8;0.25;_
Gantt;CLUSTER;51.17;60.98;_;_;0.1265;51.17;61.37;_;_;0.1310;50.37;57.83;_;_;0.1270
