80.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;1.8113127413230088E-8;0.29;_;41.61;55.74;1.3576124271770229E-10;0.33;_;38.67;55.88;7.235389970778358E-9;0.30;_
iTrust;UD;45.76;59.36;4.957325680968072E-5;0.21;_;45.49;59.03;1.1463324974777321E-5;0.22;_;44.81;62.47;0.001794759203765821;0.16;_
iTrust;CLUSTER;53.69;64.61;_;_;0.2799;53.41;64.64;_;_;0.2410;51.39;65.51;_;_;0.0379
Maven;IR;26.62;43.36;5.794030944416698E-4;0.27;_;26.53;43.22;4.698524598484392E-4;0.28;_;23.97;45.92;7.53541254537487E-4;0.27;_
Maven;UD;27.64;43.86;0.00267507460676733;0.24;_;27.63;43.89;0.002533090274652153;0.24;_;25.81;47.17;0.028027441691829618;0.17;_
Maven;CLUSTER;31.38;44.03;_;_;0.0976;31.40;43.84;_;_;0.1988;28.05;45.48;_;_;0.2008
Infinispan;IR;8.02;23.79;1.6145499877754632E-11;0.20;_;7.22;23.69;4.5816288710901543E-7;0.15;_;5.90;23.41;3.826645897413585E-10;0.19;_
Infinispan;UD;8.59;24.15;6.484939610857654E-7;0.15;_;8.46;24.50;0.26059190329181725;0.03;_;6.51;24.07;3.4498475814078876E-4;0.11;_
Infinispan;CLUSTER;9.84;24.04;_;_;0.1678;8.71;23.42;_;_;0.1687;7.18;23.23;_;_;0.1669
