70.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;1.1440602528782061E-4;0.20;_;41.61;55.74;1.5125245081044941E-5;0.22;_;38.67;55.88;1.2496338107750217E-4;0.20;_
iTrust;UD;45.76;59.36;0.02093475066740379;0.12;_;45.49;59.03;0.022217811092056873;0.12;_;44.81;62.47;0.2531586948767317;0.06;_
iTrust;CLUSTER;51.95;61.37;_;_;0.2797;50.29;60.48;_;_;0.1522;48.06;58.70;_;_;0.1852
Maven;IR;26.62;43.36;0.00254233705928941;0.24;_;26.53;43.22;0.00223642318692892;0.24;_;23.97;45.92;0.0030789283555749027;0.23;_
Maven;UD;27.64;43.86;0.01080109981268921;0.20;_;27.63;43.89;0.01007175108369748;0.20;_;25.81;47.17;0.06161965523354588;0.15;_
Maven;CLUSTER;30.77;39.96;_;_;0.0746;30.79;39.80;_;_;0.2484;27.12;39.40;_;_;0.1766
Infinispan;IR;8.02;23.79;1.3154737047567837E-8;0.17;_;7.22;23.69;5.125586241516749E-6;0.14;_;5.90;23.41;9.47332180164321E-8;0.16;_
Infinispan;UD;8.59;24.15;7.852206038476157E-5;0.12;_;8.46;24.50;0.5369432345956768;0.02;_;6.51;24.07;0.006751722483569382;0.08;_
Infinispan;CLUSTER;9.75;22.10;_;_;0.2070;8.75;21.91;_;_;0.2078;7.06;21.51;_;_;0.1008
