99.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;3.944359605319651E-10;0.32;_;39.96;54.31;3.636993577569129E-12;0.36;_;36.91;55.34;4.690990788380051E-13;0.37;_
iTrust;UD;43.59;57.73;1.6414557027793132E-6;0.25;_;43.32;57.50;1.268817915541979E-6;0.25;_;42.82;61.59;7.212784022918278E-6;0.23;_
iTrust;CLUSTER;52.91;63.02;_;_;0.3063;52.80;62.49;_;_;0.2417;50.83;62.78;_;_;0.0379
Maven;IR;26.62;43.26;2.0599387330521614E-4;0.29;_;26.53;43.22;1.912385350662279E-4;0.30;_;23.97;45.87;2.0509711853877922E-4;0.29;_
Maven;UD;27.63;43.75;0.0010714300417918056;0.26;_;27.63;43.89;9.600597101768283E-4;0.26;_;25.80;47.13;0.008300530620199224;0.21;_
Maven;CLUSTER;31.26;40.29;_;_;0.1427;31.26;40.06;_;_;0.2484;27.99;39.47;_;_;0.2517
Infinispan;IR;8.02;23.80;1.0823154544540076E-11;0.20;_;7.22;23.69;1.4732620419302325E-7;0.16;_;5.91;23.42;4.24587617318993E-10;0.19;_
Infinispan;UD;8.59;24.16;4.966820360396389E-7;0.15;_;8.46;24.50;0.18065046849981548;0.04;_;6.51;24.08;3.463895589628595E-4;0.11;_
Infinispan;CLUSTER;9.83;21.95;_;_;0.2075;8.74;21.23;_;_;0.2082;7.14;20.71;_;_;0.2070
