40.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;3.91692836589844E-4;0.18;_;41.61;55.74;8.865510640794295E-5;0.20;_;38.67;55.88;0.0015148364971440975;0.16;_
iTrust;UD;45.76;59.36;0.04632090481239969;0.10;_;45.49;59.03;0.0637480582889087;0.09;_;44.81;62.47;0.67377912279745;0.02;_
iTrust;CLUSTER;52.32;61.40;_;_;0.0944;49.75;60.28;_;_;0.1174;47.80;58.36;_;_;0.1852
Maven;IR;26.62;43.36;0.006524554836314385;0.22;_;26.53;43.22;0.006225912442408527;0.22;_;23.97;45.92;0.008409304700788357;0.21;_
Maven;UD;27.64;43.86;0.027325393314870376;0.17;_;27.63;43.89;0.02763551929330555;0.17;_;25.81;47.17;0.12958206728837685;0.12;_
Maven;CLUSTER;30.16;39.25;_;_;0.0980;30.18;39.09;_;_;0.0972;26.96;39.16;_;_;0.0992
Infinispan;IR;8.02;23.79;8.430186936256165E-7;0.15;_;7.22;23.69;1.5745051961221706E-4;0.11;_;5.90;23.41;2.6488471063207624E-6;0.14;_
Infinispan;UD;8.59;24.15;0.0012197428512219762;0.10;_;8.46;24.50;0.8878754615443307;-0.00;_;6.51;24.07;0.04578911066152473;0.06;_
Infinispan;CLUSTER;9.51;22.00;_;_;0.1459;8.57;21.65;_;_;0.0581;7.14;21.44;_;_;0.0566
