10.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;3.4964797350650586E-5;0.21;_;39.96;54.31;3.556481302362549E-5;0.21;_;36.91;55.34;1.0232945023950835E-5;0.23;_
iTrust;UD;43.59;57.73;0.013639933579252353;0.13;_;43.32;57.50;0.0674899411721866;0.09;_;42.82;61.59;0.15682130421630314;0.07;_
iTrust;CLUSTER;49.26;60.62;_;_;0.0583;48.22;60.29;_;_;0.0266;47.00;61.05;_;_;0.0605
Maven;IR;26.62;43.26;0.10044322282003448;0.13;_;26.53;43.22;0.09312481760589375;0.13;_;23.97;45.87;0.11164963033497188;0.13;_
Maven;UD;27.63;43.75;0.3324022946757378;0.08;_;27.63;43.89;0.3124314015945473;0.08;_;25.80;47.13;0.8754309517561784;0.01;_
Maven;CLUSTER;29.91;43.71;_;_;0.0149;29.88;43.58;_;_;0.0149;27.02;42.85;_;_;0.0149
Infinispan;IR;8.02;23.80;0.00471248600616472;0.08;_;7.22;23.69;0.04515851736270185;0.06;_;5.91;23.42;0.013856027948336402;0.07;_
Infinispan;UD;8.59;24.16;0.5906148136994167;0.02;_;8.46;24.50;0.00582595267123236;-0.08;_;6.51;24.08;0.6089971940008103;-0.02;_
Infinispan;CLUSTER;8.72;21.38;_;_;0.0169;7.94;20.74;_;_;0.0170;6.55;20.28;_;_;0.0168
