100.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;6.478274396208362E-6;0.23;_;41.61;55.74;4.6289189580026463E-7;0.26;_;38.67;55.88;1.4418480512188396E-7;0.27;_
iTrust;UD;45.76;59.36;0.00268161825915683;0.15;_;45.49;59.03;0.0027055376329838594;0.15;_;44.81;62.47;0.010657073932770043;0.13;_
iTrust;CLUSTER;52.37;61.79;_;_;0.3044;51.63;60.99;_;_;0.3031;51.00;60.44;_;_;0.2973
Maven;IR;26.62;43.36;8.49320351831391E-4;0.26;_;26.53;43.22;0.0010103621850498761;0.26;_;23.97;45.92;0.0011227235544784891;0.26;_
Maven;UD;27.64;43.86;0.0040862150600777985;0.23;_;27.63;43.89;0.004260777866119466;0.23;_;25.81;47.17;0.020490940087404555;0.18;_
Maven;CLUSTER;31.02;40.16;_;_;0.2509;31.02;39.95;_;_;0.2484;27.56;39.62;_;_;0.2517
Infinispan;IR;8.02;23.79;6.924231390836203E-10;0.18;_;7.22;23.69;9.013655300716738E-7;0.15;_;5.90;23.41;1.6835275129884283E-8;0.17;_
Infinispan;UD;8.59;24.15;7.981345406142802E-6;0.13;_;8.46;24.50;0.3284636176225747;0.03;_;6.51;24.07;0.0028854974255868885;0.09;_
Infinispan;CLUSTER;9.78;22.06;_;_;0.2070;8.84;21.90;_;_;0.2078;7.08;21.56;_;_;0.2066
